Numero caratteri,Solo numeri,Lettere minuscole,Lettere minuscole e maiuscole,"Numeri, lettere minuscole e maiuscole","Numeri, lettere minuscole, maiuscole e simboli"
4,Istantaneo,Istantaneo,3 secondi,6 secondi,9 secondi
5,Istantaneo,4 secondi,2 minuti,6 ore,10 minuti
6,Istantaneo,2 minuti,2 ore,6 ore,12 ore
7,4 secondi,50 minuti,4 giorni,2 settimane,1 mese
8,37 secondi,22 ore,8 mesi,3 anni,7 anni
9,6 minuti,3 settimane,33 anni,161 anni,479 anni
10,1 ore,2 anni,1k anni,9k anni,33k anni
11,10 ore,44 anni,89k anni,618k anni,2m anni
12,4 giorni,1k anni,4m anni,38m anni,164m anni
13,1 mese,29k anni,241m anni,2bn anni,11bn anni
14,1 anno,766k anni,12bn anni,147bn anni,805bn anni
15,12 anni,19m anni,652bn anni,566tn anni,3qd anni
16,119 anni,517m anni,33tn anni,35qd anni,276qd anni
17,1k anni,13bn anni,91qd anni,2qn anni,19qn anni
18,11k anni,350bn anni,91qd anni,2qn anni,19qn anni
